Date,Product,Category,Sales,Current_Stock,Unit_Price,Promotion_Flag,Holiday_Flag,Lead_Time_Days
2025-01-01,Laptop,Electronics,29,477,70000,0,0,4
2025-01-01,Smartphone,Electronics,24,466,30000,0,0,4
2025-01-01,Headphones,Electronics,32,457,3000,0,0,6
2025-01-01,T-Shirt,Fashion,50,441,800,0,0,3
2025-01-01,Jeans,Fashion,51,433,1500,0,0,5
2025-01-01,Sneakers,Fashion,47,455,2500,0,0,4
2025-01-01,Rice,Groceries,78,421,60,0,0,2
2025-01-01,Milk,Groceries,96,422,30,1,0,6
2025-01-01,Coffee,Groceries,83,394,400,0,0,5
2025-01-02,Laptop,Electronics,41,434,70000,0,0,3
2025-01-02,Smartphone,Electronics,38,434,30000,0,0,6
2025-01-02,Headphones,Electronics,58,459,3000,1,0,7
2025-01-02,T-Shirt,Fashion,51,442,800,0,0,6
2025-01-02,Jeans,Fashion,49,472,1500,0,0,5
2025-01-02,Sneakers,Fashion,47,432,2500,0,0,6
2025-01-02,Rice,Groceries,84,433,60,0,0,4
2025-01-02,Milk,Groceries,85,418,30,0,0,3
2025-01-02,Coffee,Groceries,83,436,400,0,0,3
2025-01-03,Laptop,Electronics,46,431,70000,0,0,6
2025-01-03,Smartphone,Electronics,43,462,30000,0,0,2
2025-01-03,Headphones,Electronics,34,481,3000,0,0,7
2025-01-03,T-Shirt,Fashion,40,476,800,0,0,3
2025-01-03,Jeans,Fashion,54,443,1500,0,0,2
2025-01-03,Sneakers,Fashion,58,442,2500,0,0,6
2025-01-03,Rice,Groceries,92,424,60,0,0,5
2025-01-03,Milk,Groceries,106,417,30,1,0,7
2025-01-03,Coffee,Groceries,81,391,400,0,0,7
2025-01-04,Laptop,Electronics,45,448,70000,0,0,2
2025-01-04,Smartphone,Electronics,44,445,30000,0,0,4
2025-01-04,Headphones,Electronics,46,448,3000,0,0,5
2025-01-04,T-Shirt,Fashion,61,427,800,0,0,2
2025-01-04,Jeans,Fashion,63,436,1500,0,0,5
2025-01-04,Sneakers,Fashion,54,445,2500,0,0,2
2025-01-04,Rice,Groceries,111,387,60,1,0,2
2025-01-04,Milk,Groceries,95,444,30,0,0,3
2025-01-04,Coffee,Groceries,117,360,400,1,0,4
2025-01-05,Laptop,Electronics,54,433,70000,0,0,6
2025-01-05,Smartphone,Electronics,53,490,30000,0,0,2
2025-01-05,Headphones,Electronics,60,441,3000,0,0,4
2025-01-05,T-Shirt,Fashion,57,444,800,0,0,5
2025-01-05,Jeans,Fashion,87,363,1500,1,0,2
2025-01-05,Sneakers,Fashion,61,452,2500,0,0,7
2025-01-05,Rice,Groceries,92,397,60,0,0,2
2025-01-05,Milk,Groceries,95,415,30,0,0,4
2025-01-05,Coffee,Groceries,100,378,400,0,0,4
2025-01-06,Laptop,Electronics,48,447,70000,0,0,5
2025-01-06,Smartphone,Electronics,45,440,30000,0,0,6
2025-01-06,Headphones,Electronics,42,419,3000,0,0,4
2025-01-06,T-Shirt,Fashion,62,418,800,0,0,2
2025-01-06,Jeans,Fashion,56,421,1500,0,0,4
2025-01-06,Sneakers,Fashion,54,448,2500,0,0,4
2025-01-06,Rice,Groceries,91,379,60,0,0,7
2025-01-06,Milk,Groceries,90,426,30,0,0,3
2025-01-06,Coffee,Groceries,95,428,400,0,0,2
2025-01-07,Laptop,Electronics,39,480,70000,0,0,4
2025-01-07,Smartphone,Electronics,35,460,30000,0,0,7
2025-01-07,Headphones,Electronics,46,452,3000,0,0,4
2025-01-07,T-Shirt,Fashion,78,412,800,1,0,2
2025-01-07,Jeans,Fashion,60,415,1500,0,0,7
2025-01-07,Sneakers,Fashion,55,448,2500,0,0,7
2025-01-07,Rice,Groceries,85,394,60,0,0,3
2025-01-07,Milk,Groceries,94,427,30,0,0,6
2025-01-07,Coffee,Groceries,81,408,400,0,0,6
2025-01-08,Laptop,Electronics,42,455,70000,0,0,4
2025-01-08,Smartphone,Electronics,41,454,30000,0,0,7
2025-01-08,Headphones,Electronics,45,457,3000,0,0,2
2025-01-08,T-Shirt,Fashion,57,464,800,0,0,5
2025-01-08,Jeans,Fashion,57,458,1500,0,0,5
2025-01-08,Sneakers,Fashion,71,465,2500,0,0,5
2025-01-08,Rice,Groceries,89,401,60,0,0,4
2025-01-08,Milk,Groceries,86,447,30,0,0,3
2025-01-08,Coffee,Groceries,102,391,400,1,0,7
2025-01-09,Laptop,Electronics,38,480,70000,0,0,6
2025-01-09,Smartphone,Electronics,55,465,30000,0,0,4
2025-01-09,Headphones,Electronics,51,434,3000,0,0,2
2025-01-09,T-Shirt,Fashion,63,448,800,0,0,5
2025-01-09,Jeans,Fashion,49,424,1500,0,0,3
2025-01-09,Sneakers,Fashion,78,432,2500,1,0,3
2025-01-09,Rice,Groceries,95,405,60,0,0,6
2025-01-09,Milk,Groceries,92,410,30,0,0,3
2025-01-09,Coffee,Groceries,93,409,400,0,0,5
2025-01-10,Laptop,Electronics,41,501,70000,0,0,4
2025-01-10,Smartphone,Electronics,50,458,30000,0,0,3
2025-01-10,Headphones,Electronics,40,446,3000,0,0,7
2025-01-10,T-Shirt,Fashion,60,427,800,0,0,2
2025-01-10,Jeans,Fashion,67,413,1500,0,0,7
2025-01-10,Sneakers,Fashion,56,436,2500,0,0,6
2025-01-10,Rice,Groceries,91,407,60,0,0,5
2025-01-10,Milk,Groceries,93,419,30,0,0,2
2025-01-10,Coffee,Groceries,87,402,400,0,0,7
2025-01-11,Laptop,Electronics,55,422,70000,0,0,2
2025-01-11,Smartphone,Electronics,54,400,30000,0,0,5
2025-01-11,Headphones,Electronics,55,438,3000,0,0,2
2025-01-11,T-Shirt,Fashion,68,429,800,0,0,5
2025-01-11,Jeans,Fashion,62,479,1500,0,0,4
2025-01-11,Sneakers,Fashion,59,446,2500,0,0,6
2025-01-11,Rice,Groceries,93,406,60,0,0,3
2025-01-11,Milk,Groceries,95,421,30,0,0,3
2025-01-11,Coffee,Groceries,121,388,400,1,0,2
2025-01-12,Laptop,Electronics,51,438,70000,0,0,3
2025-01-12,Smartphone,Electronics,42,459,30000,0,0,6
2025-01-12,Headphones,Electronics,46,449,3000,0,0,6
2025-01-12,T-Shirt,Fashion,60,456,800,0,0,4
2025-01-12,Jeans,Fashion,63,436,1500,0,0,5
2025-01-12,Sneakers,Fashion,69,446,2500,0,0,2
2025-01-12,Rice,Groceries,89,426,60,0,0,2
2025-01-12,Milk,Groceries,98,393,30,0,0,7
2025-01-12,Coffee,Groceries,85,426,400,0,0,7
2025-01-13,Laptop,Electronics,60,445,70000,1,0,4
2025-01-13,Smartphone,Electronics,72,436,30000,1,0,7
2025-01-13,Headphones,Electronics,48,437,3000,0,0,4
2025-01-13,T-Shirt,Fashion,66,417,800,0,0,3
2025-01-13,Jeans,Fashion,45,444,1500,0,0,3
2025-01-13,Sneakers,Fashion,49,435,2500,0,0,4
2025-01-13,Rice,Groceries,76,431,60,0,0,5
2025-01-13,Milk,Groceries,82,409,30,0,0,4
2025-01-13,Coffee,Groceries,79,457,400,0,0,7
2025-01-14,Laptop,Electronics,44,446,70000,0,0,2
2025-01-14,Smartphone,Electronics,35,493,30000,0,0,4
2025-01-14,Headphones,Electronics,38,486,3000,0,0,4
2025-01-14,T-Shirt,Fashion,55,483,800,0,0,6
2025-01-14,Jeans,Fashion,81,425,1500,1,0,6
2025-01-14,Sneakers,Fashion,47,440,2500,0,0,2
2025-01-14,Rice,Groceries,84,426,60,0,0,7
2025-01-14,Milk,Groceries,66,428,30,0,0,4
2025-01-14,Coffee,Groceries,84,439,400,0,0,6
2025-01-15,Laptop,Electronics,39,487,70000,0,0,6
2025-01-15,Smartphone,Electronics,32,481,30000,0,0,7
2025-01-15,Headphones,Electronics,37,467,3000,0,0,3
2025-01-15,T-Shirt,Fashion,56,441,800,0,0,5
2025-01-15,Jeans,Fashion,56,441,1500,0,0,7
2025-01-15,Sneakers,Fashion,43,455,2500,0,0,6
2025-01-15,Rice,Groceries,91,407,60,1,0,4
2025-01-15,Milk,Groceries,84,374,30,0,0,4
2025-01-15,Coffee,Groceries,76,433,400,0,0,2
2025-01-16,Laptop,Electronics,65,428,70000,1,0,3
2025-01-16,Smartphone,Electronics,38,451,30000,0,0,3
2025-01-16,Headphones,Electronics,34,445,3000,0,0,3
2025-01-16,T-Shirt,Fashion,68,415,800,1,0,4
2025-01-16,Jeans,Fashion,52,472,1500,0,0,7
2025-01-16,Sneakers,Fashion,50,450,2500,0,0,7
2025-01-16,Rice,Groceries,80,451,60,0,0,3
2025-01-16,Milk,Groceries,82,424,30,0,0,7
2025-01-16,Coffee,Groceries,74,392,400,0,0,2
2025-01-17,Laptop,Electronics,34,440,70000,0,0,2
2025-01-17,Smartphone,Electronics,29,463,30000,0,0,2
2025-01-17,Headphones,Electronics,22,470,3000,0,0,2
2025-01-17,T-Shirt,Fashion,48,434,800,0,0,3
2025-01-17,Jeans,Fashion,55,484,1500,0,0,3
2025-01-17,Sneakers,Fashion,54,419,2500,0,0,3
2025-01-17,Rice,Groceries,67,432,60,0,0,2
2025-01-17,Milk,Groceries,74,416,30,0,0,4
2025-01-17,Coffee,Groceries,81,421,400,0,0,7
2025-01-18,Laptop,Electronics,67,431,70000,1,0,7
2025-01-18,Smartphone,Electronics,69,463,30000,1,0,4
2025-01-18,Headphones,Electronics,34,478,3000,0,0,5
2025-01-18,T-Shirt,Fashion,55,426,800,0,0,7
2025-01-18,Jeans,Fashion,53,422,1500,0,0,4
2025-01-18,Sneakers,Fashion,50,407,2500,0,0,6
2025-01-18,Rice,Groceries,80,435,60,0,0,6
2025-01-18,Milk,Groceries,83,396,30,0,0,7
2025-01-18,Coffee,Groceries,86,409,400,0,0,7
2025-01-19,Laptop,Electronics,40,457,70000,0,0,4
2025-01-19,Smartphone,Electronics,59,472,30000,1,0,6
2025-01-19,Headphones,Electronics,34,477,3000,0,0,7
2025-01-19,T-Shirt,Fashion,49,437,800,0,0,7
2025-01-19,Jeans,Fashion,56,437,1500,0,0,2
2025-01-19,Sneakers,Fashion,60,432,2500,0,0,4
2025-01-19,Rice,Groceries,70,460,60,0,0,2
2025-01-19,Milk,Groceries,80,436,30,0,0,7
2025-01-19,Coffee,Groceries,83,386,400,0,0,7
2025-01-20,Laptop,Electronics,40,482,70000,1,0,5
2025-01-20,Smartphone,Electronics,30,515,30000,0,0,4
2025-01-20,Headphones,Electronics,25,458,3000,0,0,6
2025-01-20,T-Shirt,Fashion,40,451,800,0,0,3
2025-01-20,Jeans,Fashion,40,476,1500,0,0,7
2025-01-20,Sneakers,Fashion,38,418,2500,0,0,5
2025-01-20,Rice,Groceries,70,437,60,0,0,5
2025-01-20,Milk,Groceries,76,451,30,0,0,4
2025-01-20,Coffee,Groceries,76,455,400,0,0,5
2025-01-21,Laptop,Electronics,27,489,70000,0,0,3
2025-01-21,Smartphone,Electronics,47,430,30000,1,0,7
2025-01-21,Headphones,Electronics,30,451,3000,0,0,4
2025-01-21,T-Shirt,Fashion,70,441,800,1,0,6
2025-01-21,Jeans,Fashion,42,435,1500,0,0,3
2025-01-21,Sneakers,Fashion,39,451,2500,0,0,3
2025-01-21,Rice,Groceries,71,450,60,0,0,6
2025-01-21,Milk,Groceries,67,446,30,0,0,2
2025-01-21,Coffee,Groceries,66,400,400,0,0,2
2025-01-22,Laptop,Electronics,25,491,70000,0,0,4
2025-01-22,Smartphone,Electronics,17,477,30000,0,0,5
2025-01-22,Headphones,Electronics,47,422,3000,1,0,5
2025-01-22,T-Shirt,Fashion,39,474,800,0,0,4
2025-01-22,Jeans,Fashion,39,438,1500,0,0,5
2025-01-22,Sneakers,Fashion,37,444,2500,0,0,6
2025-01-22,Rice,Groceries,77,416,60,0,0,7
2025-01-22,Milk,Groceries,83,394,30,0,0,3
2025-01-22,Coffee,Groceries,71,465,400,0,0,7
2025-01-23,Laptop,Electronics,31,427,70000,0,0,5
2025-01-23,Smartphone,Electronics,18,466,30000,0,0,7
